#{"t_start": 1778591613.0513968, "env_id": "None"}
r,l,t
-2733.94,1945,3.548654
-2438.16,1945,4.234576
-2182.22,1945,4.918668
-1930.26,1945,5.624904
-1614.88,1945,6.348585
-1349.96,1945,7.052885
-1159.32,1945,7.842736
-916.38,1945,8.568752
-585.02,1945,9.409082
-352.6,1945,10.266423
-134.22,1945,11.109596
-117.42,1945,12.010797
-113.78,1945,12.909741
-136.1,1945,13.781667
-158.94,1945,14.625681
-123.84,1945,15.546734
-111.64,1945,16.367854
-99.64,1945,17.246841
-111.26,1945,18.137197
-154.14,1945,18.996109
-150.46,1945,19.893651
-150.72,1945,20.800377
-146.8,1945,21.791667
-148.16,1945,22.780405
-104.18,1945,23.685953
-113.46,1945,24.581041
-113.82,1945,25.386052
-99.38,1945,26.246149
-120.22,1945,27.171035
-87.82,1945,28.11581
-134.88,1945,29.042512
-142.46,1945,29.950135
-150.56,1945,30.882242
-150.32,1945,31.879569
-152.5,1945,32.747118
-109.4,1945,33.629992
-112.32,1945,34.555222
-126.44,1945,35.571346
-119.78,1945,36.528109
-150.82,1945,37.449603
-135.84,1945,38.313018
-142.12,1945,39.14946
-121.88,1945,40.001076
-136.46,1945,40.916582
-138.18,1945,41.7945
-109.24,1945,42.687495
-141.64,1945,43.531851
-147.64,1945,44.384394
-116.16,1945,45.232677
-119.78,1945,46.100007
-138.6,1945,46.968211
